,line number,filename_x,buggy commit,bug_inducing_commit,buggy author,author experience,project progress,timedelta (month),id,filename_y,fix commit,type error lines,directory,issue id,project name
26,148,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
27,149,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
28,150,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
29,151,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
30,152,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
31,153,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
32,154,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
33,156,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
34,157,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
35,158,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
36,159,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
37,160,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
38,161,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
39,163,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
40,167,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
41,168,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
42,175,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
43,176,modules/Lending.py,40b8682,2856a2153f0dc0b6f3cb5b5a5c097217d58347c5,Evan,48,168,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
44,177,modules/Lending.py,40b8682,2856a2153f0dc0b6f3cb5b5a5c097217d58347c5,Evan,48,168,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
45,180,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
46,181,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
47,182,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
48,184,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
49,187,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
50,188,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
51,189,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
52,190,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
53,191,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
54,192,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
55,193,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
56,194,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
57,195,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
58,196,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
59,197,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
60,199,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
61,200,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
62,201,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
63,202,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
64,203,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
65,204,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
66,205,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
67,206,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
68,207,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
69,208,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
70,209,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
71,210,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
72,211,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
73,212,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
74,213,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
75,214,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
76,215,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
77,216,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
78,217,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
79,218,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
80,219,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
81,220,modules/Lending.py,40b8682,be0a400e29ac6d5b99f21ead4f50352a6b3f5d2c,Evan,46,166,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
82,221,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
83,222,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
84,223,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
85,224,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
86,225,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
87,226,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
88,228,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
89,229,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
90,230,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
91,231,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
92,232,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
93,233,modules/Lending.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
94,248,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
95,249,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
96,250,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
97,251,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
98,252,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
99,253,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
100,254,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
101,255,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
102,256,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
103,257,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
104,258,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
105,259,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
106,260,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
107,261,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
108,262,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
109,263,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
110,264,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
111,265,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
112,266,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
113,267,modules/Lending.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
114,9,modules/MarketAnalysis.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
115,10,modules/MarketAnalysis.py,40b8682,73b68cb717fa93ef9a9280dbd382a1f8876d27f7,Evan,43,163,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
116,25,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
117,26,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
118,27,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
119,28,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
120,29,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
121,30,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
122,31,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
123,32,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
124,33,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
125,34,modules/Poloniex.py,40b8682,951f9b6276c2e31d7179199b3247f74ea9f2cc7a,Evan,39,145,6,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
126,35,modules/Poloniex.py,40b8682,1de19666c2e938ba2904ab80a20f17f2f1b7ce60,Evan,32,136,5,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
127,36,modules/Poloniex.py,40b8682,482c5167ea1261464d4ade733a7c2bac8843b823,Mikadily,0,0,0,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
128,81,modules/Poloniex.py,40b8682,d6ab2fa3daab6951dbf3c43ee9875a473b786872,Evan,44,164,7,34,lendingbot.py,00ba501,58,34/MikaLendingBot,180,MikaLendingBot
129,125,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
130,165,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
131,211,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
132,236,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
133,237,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
134,239,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
135,242,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
136,243,lib/ansible/modules/network/iosxr/iosxr_logging.py,36c6d0f,e5c2e1b7beabdd91fe0df768b8c6aa7f54c603e3,Trishna Guha,50,31271,2,38,lib/ansible/modules/network/iosxr/iosxr_logging.py,3b1f2ae,"240, 241",38/ansible,27122,ansible
