,line number,filename,buggy commit,issue id,bug_inducing_commit,buggy author,author experience,project progress,timedelta (month),id,fix commit,type error lines,directory,project name,owner
19,74,docido_sdk/index/test.py,6f0e2a0,9,7d5e8eb77ae1483553bfa51a1ad990ec29a0737d,Tristan Carel,129,147,3,84,3046296,74,84/docido-python-sdk,docido-python-sdk,cogniteev
20,1189,astropy/io/fits/diff.py,52a0398,5520,aaaa6fb56fdb09f93b58c13871765e4b9dd6475e,Brigitta Sipocz,213,16368,32,87,901a253,1189,87/astropy,astropy,astropy
21,17,shop/cascade/extensions.py,2e13fd9,682,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,2744,4181,69,88,e615cda,"17, 23",88/django-shop,django-shop,awesto
22,23,shop/cascade/extensions.py,2e13fd9,682,9b4e12f5e77b5e3f8b9a301452eb80ec14bf7de7,Jacob Rief,2744,4181,69,88,e615cda,"17, 23",88/django-shop,django-shop,awesto
23,21,lgsm/functions/gsquery.py,cc4d103,964,841a65b2f7105bc174674703101cb4a24d2d9a64,Daniel Gibbs,1222,1537,31,100,a51cdd8,21,100/LinuxGSM,LinuxGSM,GameServerManagers
24,360,ensime_shared/editor.py,44848a4,339,e60977e11b8a1c6066b49653c05febcc7c98867d,Ches Martin,31,506,4,110,396d5bd,360,110/ensime-vim,ensime-vim,ensime
25,276,lib/ansible/module_utils/eos.py,512ef49,17441,b5bbac29e54076507dad81bc6b2b37ee045571be,Peter Sprygada,201,20231,37,115,50c445c,276,115/ansible,ansible,ansible
26,96,lib/ansible/module_utils/aws/cloudfront_facts.py,0ee598a,40668,8d733dbdf0eb7bbda5f3a783e893d71a3a35a646,Will Thames,190,35160,65,117,93cd050,96,117/ansible,ansible,ansible
27,792,lib/ansible/modules/cloud/amazon/ec2_group.py,51ba115,36412,2ceff476bf17e021c2453e6fc80544827bf40f1c,Brandon Davidson,5,32324,3,128,a77b89e,792,128/ansible,ansible,ansible
28,87,maltrieve.py,857508a,141,7a8b889f197127db6c4658d60f301bb825d938c5,Kyle Maxwell,266,297,26,144,492edab,87,144/maltrieve,maltrieve,krmaxwell
29,613,astropy/io/fits/util.py,454fb09,7435,e0236766aa295e46eaff27746a5c549107888492,Stephen Portillo,0,22544,0,158,edd8090,613,158/astropy,astropy,astropy
30,378,lib/ansible/modules/cloud/azure/azure_rm_dnsrecordset.py,8c27ffd,37581,6b5b4651253d584420520271c865f3a64e564bc1,nitzmahone,242,32964,26,161,eb430b2,378,161/ansible,ansible,ansible
31,144,lib/ansible/modules/network/iosxr/iosxr_command.py,08327fa,27118,671184adc45023c625d6e94e8142f76a0a621e6e,Peter Sprygada,368,23208,41,218,fd771e5,144,218/ansible,ansible,ansible
32,1462,lib/ansible/modules/system/user.py,de8b6b5,38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,0,24277,0,222,82f6f08,"1462, 1464, 1466",222/ansible,ansible,ansible
33,1464,lib/ansible/modules/system/user.py,de8b6b5,38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,0,24277,0,222,82f6f08,"1462, 1464, 1466",222/ansible,ansible,ansible
34,1466,lib/ansible/modules/system/user.py,de8b6b5,38040,8010b7f9808adb4c8e4d861a54f323c559e18787,Lars Engels,0,24277,0,222,82f6f08,"1462, 1464, 1466",222/ansible,ansible,ansible
35,40,terra/terminal.py,707b8aa,95,67dd6521f97e11c86ccae30e9cfc2dba2974f02f,Schneider Werner-Walter,14,235,13,230,e8c7c93,40,230/terra-terminal,terra-terminal,Sixdsn
36,200,app_integrations/apps/onelogin.py,dd1f870,470,d7585ad801c111e7889550950afd13dc33a760f9,javier_marcos,11,980,0,248,b1966aa,200,248/streamalert,streamalert,airbnb
37,41,inspirehep/modules/workflows/tasks/classifier.py,6b2647d,2456,7916662b475f81b7e2635cd283b189efc46cf2d8,Samuele Kaplun,247,3385,22,285,4a0045e,41,285/inspire-next,inspire-next,inspirehep
38,116,caravel/forms.py,25831f0,292,be6b2fe5560829e5b0bae2fb6613a8a32dcf4f69,Maxime Beauchemin,561,688,8,291,a3dcb0f,116,291/incubator-superset,incubator-superset,apache
39,318,lib/ansible/modules/network/ios/ios_facts.py,4fad156,27242,a522c2d99fd25c15aee89927e3de4ca86f88b66e,Peter Sprygada,410,23743,41,318,2571fc0,318,318/ansible,ansible,ansible
40,58,soco/snapshot.py,db4d416,475,cc226b433cfd286d8b706eeef5a357e4d9070cd4,robwebset,36,595,3,325,5ceb384,58,325/SoCo,SoCo,SoCo
41,44,osmaxx-py/osmaxx/job_progress/views.py,4613be1,309,53ecc8fafb1341caf3c6076984fe85d486eb2020,Nicola Jordan,496,1241,7,327,dff393b,44,327/osmaxx,osmaxx,geometalab
42,87,app/helpers/form_helper.py,c327d61,1004,c327d61a74e24bdd1596edc3d116ef95d0692b50,Ben Jefferies,168,2325,6,329,c1c8ca2,87,329/eq-survey-runner,eq-survey-runner,ONSdigital
43,64,TriblerGUI/widgets/settingspage.py,1c2dea2,2847,0121e07d998a7c88f0a2db638ea4b4c9598cb8fd,Martijn de Vos,846,12576,16,363,1c2dea2,64,363/tribler,tribler,Tribler
44,62,lib/ansible/utils/display.py,c1400ce,22470,66104191d182aedd7b76f4a1b839c448f97c3ffe,Brian Coca,1964,17836,40,387,c86fd6e,62,387/ansible,ansible,ansible
45,78,lib/ansible/module_utils/ios.py,0b5b5ec,26918,1abc73da6862c32959377884df037491ca1e98a6,Ricardo Carrillo Cruz,48,29579,3,391, 9f64e44,"78, 80",391/ansible,ansible,ansible
46,80,lib/ansible/module_utils/ios.py,0b5b5ec,26918,1abc73da6862c32959377884df037491ca1e98a6,Ricardo Carrillo Cruz,48,29579,3,391, 9f64e44,"78, 80",391/ansible,ansible,ansible
47,346,lib/ansible/modules/network/ios/ios_config.py,0b5b5ec,26918,0b6f0e6c0d95e271cf4173b28ece4a5e58902f9c,Peter Sprygada,723,31122,48,391, 9f64e44,346,391/ansible,ansible,ansible
48,515,Tribler/Core/Libtorrent/LibtorrentMgr.py,743adf0,2693,9142357fa80ea97dca92130229dd3a013a822e58,Martijn de Vos,484,12161,11,397,3bb6917,515,397/tribler,tribler,Tribler
